date,meantemp,humidity,wind_speed,meanpressure
2017-03-28,29.8888888888889,40.6666666666667,8.84444444444445,1009
2017-03-29,31,34.5,13.2,1007.125
2017-03-30,29.2857142857143,36.8571428571429,10.5857142857143,1007.14285714286
2017-03-31,30.625,37.625,6.95,1007.5
2017-04-01,31.375,35.125,9.0375,1005
2017-04-02,,,,1004.25
2017-04-03,,,,1004.25
2017-04-04,,,,1007.2
2017-04-05,,,,1005
2017-04-06,,,,1002.88888888889
2017-04-07,,,,1007.375
2017-04-08,,,,1010.375
2017-04-09,,,,1010.625
2017-04-10,,,,1008.57142857143
2017-04-11,29.25,17.75,15.5125,1006.25
2017-04-12,29.25,26,9.4875,1005.875
2017-04-13,29.6666666666667,29.1111111111111,4.94444444444444,1006.77777777778
2017-04-14,30.5,37.625,1.3875,1004.625
2017-04-15,31.2222222222222,30.4444444444444,5.96666666666667,1002.44444444444
2017-04-16,31,34.25,2.1,1003.25
2017-04-17,32.5555555555556,38.4444444444444,5.36666666666667,1004.44444444444
2017-04-18,34,27.3333333333333,7.81111111111111,1003.11111111111
2017-04-13,29.6666666666667,29.1111111111111,4.94444444444444,1006.77777777778
2017-04-14,30.5,37.625,1.3875,1004.625
2017-04-15,31.2222222222222,30.4444444444444,5.96666666666667,1002.44444444444
2017-04-22,32.9,40.9,8.89,1001.6
2017-04-23,32.875,27.5,9.9625,1002.125
2017-04-24,32,27.1428571428571,12.1571428571429,1004.14285714286
